sample_accession	sample_description	description	study_accession
SAMN35632939	16S rRNA	16S rRNA	PRJNA980418
SAMN35632940	16S rRNA	16S rRNA	NA
SAMN35632952	16S rRNA	16S rRNA	NA
SAMN35632954	16S rRNA	16S rRNA	NA
SAMN35632958	16S rRNA	16S rRNA	NA
SAMN35632960	16S rRNA	16S rRNA	NA
SAMN35632965	16S rRNA	16S rRNA	PRJNA980418
SAMN35632966	16S rRNA	16S rRNA	NA
SAMN35632972	16S rRNA	16S rRNA	NA
SAMN35632992	16S rRNA	16S rRNA	NA
SAMN35632996	16S rRNA	16S rRNA	NA
SAMN35632998	16S rRNA	16S rRNA	NA
SAMN35633006	16S rRNA	16S rRNA	NA
SAMN35633008	16S rRNA	16S rRNA	NA
SAMN35633016	16S rRNA	16S rRNA	NA
SAMN35633018	16S rRNA	16S rRNA	NA
SAMN35633020	16S rRNA	16S rRNA	NA
SAMN35633022	16S rRNA	16S rRNA	NA
SAMN35633024	16S rRNA	16S rRNA	NA
SAMN35633032	16S rRNA	16S rRNA	NA
SAMN35633042	16S rRNA	16S rRNA	NA
SAMN35633054	16S rRNA	16S rRNA	NA
SAMN35633062	16S rRNA	16S rRNA	NA
SAMN35633066	16S rRNA	16S rRNA	NA
SAMN35633072	16S rRNA	16S rRNA	NA
SAMN35633074	16S rRNA	16S rRNA	NA
SAMN35633076	16S rRNA	16S rRNA	NA
SAMN35633082	16S rRNA	16S rRNA	NA
SAMN35633088	16S rRNA	16S rRNA	NA
SAMN35633106	16S rRNA	16S rRNA	NA
SAMN35633110	16S rRNA	16S rRNA	NA
SAMN35633120	16S rRNA	16S rRNA	NA
SAMN35633130	16S rRNA	16S rRNA	NA
SAMN35633140	16S rRNA	16S rRNA	NA
SAMN35633144	16S rRNA	16S rRNA	NA
SAMN35633150	16S rRNA	16S rRNA	NA
SAMN35633158	16S rRNA	16S rRNA	NA
SAMN35633160	16S rRNA	16S rRNA	NA
SAMN35633166	16S rRNA	16S rRNA	NA
SAMN35633168	16S rRNA	16S rRNA	NA
SAMN35633178	16S rRNA	16S rRNA	NA
SAMN35633190	16S rRNA	16S rRNA	NA
SAMN35633216	16S rRNA	16S rRNA	NA
SAMN35633218	16S rRNA	16S rRNA	NA
SAMN35633220	16S rRNA	16S rRNA	NA
SAMN35633224	16S rRNA	16S rRNA	NA
SAMD00397953	16S rRNA	16S rRNA	PRJDB12126
SAMD00397954	16S rRNA	16S rRNA	PRJDB12126
SAMD00397957	16S rRNA	16S rRNA	PRJDB12126
SAMD00397961	16S rRNA	16S rRNA	PRJDB12126
SAMD00397962	16S rRNA	16S rRNA	PRJDB12126
SAMEA111416184	16S rRNA	16S rRNA	PRJEB56306
SAMEA111416186	16S rRNA	16S rRNA	PRJEB56306
SAMEA111416193	16S rRNA	16S rRNA	PRJEB56306
SAMN02213522	16S rRNA	16S rRNA	PRJNA206097
SAMN02213526	16S rRNA	16S rRNA	PRJNA206097
SAMN02213527	16S rRNA	16S rRNA	PRJNA206097
SAMN02213534	16S rRNA	16S rRNA	PRJNA206097
SAMN02213536	16S rRNA	16S rRNA	PRJNA206097
SAMN02213537	16S rRNA	16S rRNA	PRJNA206097
SAMN02213539	16S rRNA	16S rRNA	PRJNA206097
SAMN02213540	16S rRNA	16S rRNA	PRJNA206097
SAMN02213542	16S rRNA	16S rRNA	PRJNA206097
SAMN02213543	16S rRNA	16S rRNA	PRJNA206097
SAMN02213544	16S rRNA	16S rRNA	PRJNA206097
SAMN02213551	16S rRNA	16S rRNA	PRJNA206097
SAMN02213554	16S rRNA	16S rRNA	PRJNA206097
SAMN02213556	16S rRNA	16S rRNA	PRJNA206097
SAMN02782130	16S rRNA	16S rRNA	PRJNA245853
SAMN02782134	16S rRNA	16S rRNA	PRJNA245853
SAMN02782135	16S rRNA	16S rRNA	PRJNA245853
SAMN02782142	16S rRNA	16S rRNA	PRJNA245853
SAMN03330008	16S rRNA	16S rRNA	PRJNA273262
SAMN03330012	16S rRNA	16S rRNA	PRJNA273262
SAMN03330019	16S rRNA	16S rRNA	PRJNA273262
SAMN03330020	16S rRNA	16S rRNA	PRJNA273262
SAMN03330021	16S rRNA	16S rRNA	PRJNA273262
SAMN03330022	16S rRNA	16S rRNA	PRJNA273262
SAMN05757274	16S rRNA	16S rRNA	PRJNA342461
SAMN05757283	16S rRNA	16S rRNA	PRJNA342461
SAMN05757286	16S rRNA	16S rRNA	PRJNA342461
SAMN05757287	16S rRNA	16S rRNA	PRJNA342461
SAMN05757289	16S rRNA	16S rRNA	PRJNA342461
SAMN05915235	16S rRNA	16S rRNA	PRJNA348748
SAMN05915238	16S rRNA	16S rRNA	PRJNA348748
SAMN05915239	16S rRNA	16S rRNA	PRJNA348748
SAMN05915240	16S rRNA	16S rRNA	PRJNA348748
SAMN05915244	16S rRNA	16S rRNA	PRJNA348748
SAMN05915245	16S rRNA	16S rRNA	PRJNA348748
SAMN07514215	16S rRNA	16S rRNA	PRJNA398607
SAMN07816250	16S rRNA	16S rRNA	PRJNA414980
SAMN07816252	16S rRNA	16S rRNA	PRJNA414980
SAMN07816253	16S rRNA	16S rRNA	PRJNA414980
SAMN07816257	16S rRNA	16S rRNA	PRJNA414980
SAMN07816258	16S rRNA	16S rRNA	PRJNA414980
SAMN07816260	16S rRNA	16S rRNA	PRJNA414980
SAMN07816262	16S rRNA	16S rRNA	PRJNA414980
SAMN07816268	16S rRNA	16S rRNA	PRJNA414980
SAMN07816273	16S rRNA	16S rRNA	PRJNA414980
SAMN07816276	16S rRNA	16S rRNA	PRJNA414980
SAMN07816278	16S rRNA	16S rRNA	PRJNA414980
SAMN07816279	16S rRNA	16S rRNA	PRJNA414980
SAMN07816280	16S rRNA	16S rRNA	PRJNA414980
SAMN07816281	16S rRNA	16S rRNA	PRJNA414980
SAMN07816287	16S rRNA	16S rRNA	PRJNA414980
SAMN07816288	16S rRNA	16S rRNA	PRJNA414980
SAMN07816289	16S rRNA	16S rRNA	PRJNA414980
SAMN07816291	16S rRNA	16S rRNA	PRJNA414980
SAMN08517554	16s rRNA	16s rRNA	PRJNA433804
SAMN08517558	16s rRNA	16s rRNA	PRJNA433804
SAMN08517567	16s rRNA	16s rRNA	PRJNA433804
SAMN09622154	16S rRNA	16S rRNA	PRJNA561751
SAMN09622159	16S rRNA	16S rRNA	PRJNA479952
SAMN09622160	16S rRNA	16S rRNA	PRJNA479952
SAMN09622162	16S rRNA	16S rRNA	PRJNA479952
SAMN09622165	16S rRNA	16S rRNA	PRJNA479952
SAMN09622172	16S rRNA	16S rRNA	PRJNA479952
SAMN09622173	16S rRNA	16S rRNA	PRJNA479952
SAMN09622175	16S rRNA	16S rRNA	PRJNA479952
SAMN09622176	16S rRNA	16S rRNA	PRJNA479952
SAMN09622179	16S rRNA	16S rRNA	PRJNA479952
SAMN09622181	16S rRNA	16S rRNA	PRJNA479952
SAMN09622185	16S rRNA	16S rRNA	PRJNA479952
SAMN09622187	16S rRNA	16S rRNA	PRJNA479952
SAMN09622188	16S rRNA	16S rRNA	PRJNA479952
SAMN11125685	16S rRNA	16S rRNA	PRJNA527014
SAMN11388972	16S rRNA	16S rRNA	NA
SAMN11388974	16S rRNA	16S rRNA	NA
SAMN11388976	16S rRNA	16S rRNA	NA
SAMN11388978	16S rRNA	16S rRNA	NA
SAMN11388986	16S rRNA	16S rRNA	NA
SAMN11823439	16S rRNA	16S rRNA	PRJNA531905
SAMN11823441	16S rRNA	16S rRNA	PRJNA531905
SAMN11823442	16S rRNA	16S rRNA	PRJNA531905
SAMN11823444	16S rRNA	16S rRNA	PRJNA531905
SAMN11823446	16S rRNA	16S rRNA	PRJNA531905
SAMN11823450	16S rRNA	16S rRNA	PRJNA531905
SAMN11823451	16S rRNA	16S rRNA	PRJNA531905
SAMN11823454	16S rRNA	16S rRNA	PRJNA531905
SAMN11823455	16S rRNA	16S rRNA	PRJNA531905
SAMN11823456	16S rRNA	16S rRNA	PRJNA531905
SAMN11823458	16S rRNA	16S rRNA	PRJNA531905
SAMN12287752	16S rRNA	16S rRNA	PRJNA377204
SAMN12287756	16S rRNA	16S rRNA	PRJNA377204
SAMN12287761	16S rRNA	16S rRNA	PRJNA377204
SAMN12287762	16S rRNA	16S rRNA	PRJNA377204
SAMN12287764	16S rRNA	16S rRNA	PRJNA377204
SAMN12287767	16S rRNA	16S rRNA	PRJNA377204
SAMN12287769	16S rRNA	16S rRNA	PRJNA377204
SAMN12287771	16S rRNA	16S rRNA	PRJNA377204
SAMN12287776	16S rRNA	16S rRNA	PRJNA377204
SAMN12287777	16S rRNA	16S rRNA	PRJNA377204
SAMN12287778	16S rRNA	16S rRNA	PRJNA377204
SAMN12287782	16S rRNA	16S rRNA	PRJNA377204
SAMN12287784	16S rRNA	16S rRNA	PRJNA377204
SAMN12287785	16S rRNA	16S rRNA	PRJNA377204
SAMN12287789	16S rRNA	16S rRNA	PRJNA377204
SAMN12287795	16S rRNA	16S rRNA	PRJNA377204
SAMN12287797	16S rRNA	16S rRNA	PRJNA377204
SAMN12287798	16S rRNA	16S rRNA	PRJNA377204
SAMN12287800	16S rRNA	16S rRNA	PRJNA377204
SAMN12287805	16S rRNA	16S rRNA	PRJNA377204
SAMN12287807	16S rRNA	16S rRNA	PRJNA377204
SAMN12287808	16S rRNA	16S rRNA	PRJNA377204
SAMN12287809	16S rRNA	16S rRNA	PRJNA377204
SAMN12287818	16S rRNA	16S rRNA	PRJNA377204
SAMN12287819	16S rRNA	16S rRNA	PRJNA377204
SAMN12287822	16S rRNA	16S rRNA	PRJNA377204
SAMN16519727	16S rRNA	16S rRNA	NA
SAMN16519729	16S rRNA	16S rRNA	NA
SAMN16519732	16S rRNA	16S rRNA	NA
SAMN16519733	16S rRNA	16S rRNA	NA
SAMN16519741	16S rRNA	16S rRNA	NA
SAMN16519745	16S rRNA	16S rRNA	NA
SAMN16519747	16S rRNA	16S rRNA	NA
SAMN16519749	16S rRNA	16S rRNA	NA
SAMN16519754	16S rRNA	16S rRNA	NA
SAMN16519755	16S rRNA	16S rRNA	NA
SAMN16519756	16S rRNA	16S rRNA	NA
SAMN16519764	16S rRNA	16S rRNA	NA
SAMN16519767	16S rRNA	16S rRNA	NA
SAMN16519768	16S rRNA	16S rRNA	NA
SAMN16519770	16S rRNA	16S rRNA	NA
SAMN16519776	16S rRNA	16S rRNA	NA
SAMN16519778	16S rRNA	16S rRNA	NA
SAMN16519784	16S rRNA	16S rRNA	NA
SAMN16519788	16S rRNA	16S rRNA	NA
SAMN16519793	16S rRNA	16S rRNA	NA
SAMN16519795	16S rRNA	16S rRNA	NA
SAMN16519797	16S rRNA	16S rRNA	NA
SAMN16519799	16S rRNA	16S rRNA	NA
SAMN16519802	16S rRNA	16S rRNA	NA
SAMN16519806	16S rRNA	16S rRNA	NA
SAMN16519810	16S rRNA	16S rRNA	NA
SAMN16519812	16S rRNA	16S rRNA	NA
SAMN16519817	16S rRNA	16S rRNA	NA
SAMN16519823	16S rRNA	16S rRNA	NA
SAMN16519828	16S rRNA	16S rRNA	NA
SAMN16519832	16S rRNA	16S rRNA	NA
SAMN16519838	16S rRNA	16S rRNA	NA
SAMN16519839	16S rRNA	16S rRNA	NA
SAMN16519840	16S rRNA	16S rRNA	NA
SAMN16519841	16S rRNA	16S rRNA	NA
SAMN16519843	16S rRNA	16S rRNA	NA
SAMN16519844	16S rRNA	16S rRNA	NA
SAMN16519848	16S rRNA	16S rRNA	NA
SAMN16519850	16S rRNA	16S rRNA	NA
SAMN16519851	16S rRNA	16S rRNA	NA
SAMN16519859	16S rRNA	16S rRNA	NA
SAMN16519860	16S rRNA	16S rRNA	NA
SAMN16519863	16S rRNA	16S rRNA	NA
SAMN16519864	16S rRNA	16S rRNA	NA
SAMN16519865	16S rRNA	16S rRNA	NA
SAMN16519866	16S rRNA	16S rRNA	NA
SAMN16519867	16S rRNA	16S rRNA	NA
SAMN16519868	16S rRNA	16S rRNA	NA
SAMN16519872	16S rRNA	16S rRNA	NA
SAMN16519873	16S rRNA	16S rRNA	NA
SAMN16519876	16S rRNA	16S rRNA	NA
SAMN16519888	16S rRNA	16S rRNA	NA
SAMN16519895	16S rRNA	16S rRNA	NA
SAMN16519896	16S rRNA	16S rRNA	NA
SAMN27277535	16S rRNA	16S rRNA	PRJNA822765
SAMN27277537	16S rRNA	16S rRNA	PRJNA822765
SAMN27277538	16S rRNA	16S rRNA	PRJNA822765
SAMN27277540	16S rRNA	16S rRNA	PRJNA822765
SAMN27277542	16S rRNA	16S rRNA	PRJNA822765
SAMN27277546	16S rRNA	16S rRNA	PRJNA822765
SAMN27277547	16S rRNA	16S rRNA	PRJNA822765
SAMN27277548	16S rRNA	16S rRNA	PRJNA822765
SAMN27277550	16S rRNA	16S rRNA	PRJNA822765
SAMN27277552	16S rRNA	16S rRNA	PRJNA822765
SAMN27277554	16S rRNA	16S rRNA	PRJNA822765
SAMN27277555	16S rRNA	16S rRNA	PRJNA822765
SAMN27277557	16S rRNA	16S rRNA	PRJNA822765
SAMN27277558	16S rRNA	16S rRNA	PRJNA822765
SAMN27277562	16S rRNA	16S rRNA	PRJNA822765
SAMN27277563	16S rRNA	16S rRNA	PRJNA822765
SAMN27277564	16S rRNA	16S rRNA	PRJNA822765
SAMN27277565	16S rRNA	16S rRNA	PRJNA822765
SAMN27277570	16S rRNA	16S rRNA	PRJNA822765
SAMN27277573	16S rRNA	16S rRNA	PRJNA822765
SAMN27277581	16S rRNA	16S rRNA	PRJNA822765
SAMN27277587	16S rRNA	16S rRNA	PRJNA822765
SAMN27277589	16S rRNA	16S rRNA	PRJNA822765
SAMN27277592	16S rRNA	16S rRNA	PRJNA822765
SAMN27277602	16S rRNA	16S rRNA	PRJNA822765
SAMN27277603	16S rRNA	16S rRNA	PRJNA822765
SAMN27277605	16S rRNA	16S rRNA	PRJNA822765
SAMN27277608	16S rRNA	16S rRNA	PRJNA822765
SAMN27277609	16S rRNA	16S rRNA	PRJNA822765
SAMN27277611	16S rRNA	16S rRNA	PRJNA822765
SAMN27277612	16S rRNA	16S rRNA	PRJNA822765
SAMN27277614	16S rRNA	16S rRNA	PRJNA822765
SAMN27277615	16S rRNA	16S rRNA	PRJNA822765
SAMN27277616	16S rRNA	16S rRNA	PRJNA822765
SAMN27277618	16S rRNA	16S rRNA	PRJNA822765
SAMN27277619	16S rRNA	16S rRNA	PRJNA822765
SAMN27277620	16S rRNA	16S rRNA	PRJNA822765
SAMN27277622	16S rRNA	16S rRNA	PRJNA822765
SAMN27277626	16S rRNA	16S rRNA	PRJNA822765
SAMN27277629	16S rRNA	16S rRNA	PRJNA822765
SAMN27277630	16S rRNA	16S rRNA	PRJNA822765
SAMN27277632	16S rRNA	16S rRNA	PRJNA822765
SAMN27277634	16S rRNA	16S rRNA	PRJNA822765
SAMN27277635	16S rRNA	16S rRNA	PRJNA822765
SAMN27277638	16S rRNA	16S rRNA	PRJNA822765
SAMN27277641	16S rRNA	16S rRNA	PRJNA822765
SAMN27277642	16S rRNA	16S rRNA	PRJNA822765
SAMN27277645	16S rRNA	16S rRNA	PRJNA822765
SAMEA104041799	16S rRNA	16S rRNA	PRJEB20724
SAMEA104041814	16S rRNA	16S rRNA	PRJEB20724
SAMEA104041816	16S rRNA	16S rRNA	PRJEB20724
SAMEA104041818	16S rRNA	16S rRNA	PRJEB20724
SAMEA104041834	16S rRNA	16S rRNA	PRJEB20724
SAMEA104041840	16S rRNA	16S rRNA	PRJEB20724
SAMEA104041842	16S rRNA	16S rRNA	PRJEB20724
SAMEA104041847	16S rRNA	16S rRNA	PRJEB20724
SAMEA104041848	16S rRNA	16S rRNA	PRJEB20724
SAMEA104041853	16S rRNA	16S rRNA	PRJEB20724
SAMEA104041860	16S rRNA	16S rRNA	PRJEB20724
SAMEA104041861	16S rRNA	16S rRNA	PRJEB20724
SAMEA104041864	16S rRNA	16S rRNA	PRJEB20724
SAMEA104041866	16S rRNA	16S rRNA	PRJEB20724
SAMEA104041868	16S rRNA	16S rRNA	PRJEB20724
SAMEA104041872	16S rRNA	16S rRNA	PRJEB20724
SAMEA104041873	16S rRNA	16S rRNA	PRJEB20724
SAMEA104041878	16S rRNA	16S rRNA	PRJEB20724
SAMEA104041880	16S rRNA	16S rRNA	PRJEB20724
SAMEA104041882	16S rRNA	16S rRNA	PRJEB20724
SAMEA104041891	16S rRNA	16S rRNA	PRJEB20724
SAMEA104041893	16S rRNA	16S rRNA	PRJEB20724
SAMEA104041895	16S rRNA	16S rRNA	PRJEB20724
SAMEA12118754	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118757	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118760	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118763	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118766	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118769	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118770	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118773	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118777	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118778	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118782	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118783	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118784	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118786	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118787	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118797	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118807	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118808	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118809	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118810	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118815	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118817	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118819	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118821	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118826	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118828	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118831	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118836	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118840	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118841	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118844	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118845	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118852	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118853	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118855	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118856	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118863	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118865	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118875	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118878	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118879	16S rRNA	16S rRNA	PRJEB49814
SAMEA3107702	16S rRNA	16S rRNA	PRJEB7637
SAMEA3107703	16S rRNA	16S rRNA	PRJEB7637
SAMEA3107709	16S rRNA	16S rRNA	PRJEB7637
